ID,Country,Education,First Contact,Last Contact,Status,Stage,First Call,Signed up for a demo,Filled in customer survey,Did sign up to the platform,Account Manager assigned,Subscribed
10057,Canada,,2021-12-18,2021-12-18,1st message,,,,,,,
10058,USA,,2021-12-18,2021-12-18,1st message,,,,,,,
10059,Canada,,2021-12-18,2021-12-18,1st message,,,,,,,
10060,Canada,,2021-12-18,2021-12-18,1st message,,,,,,,
10061,Greece,,2021-12-18,2021-12-18,1st message,,,,,,,
10062,Germany,,2021-12-18,2021-12-18,1st message,,,,,,,
10063,Switzerland,,2021-12-18,2021-12-18,1st message,,,,,,,
10064,USA,,2021-12-18,2021-12-19,2nd message,,,,,,,
10065,Canada,,2021-12-18,2022-01-18,2nd message,,,,,,,
10066,USA,,2021-12-18,2021-12-19,2nd message,,,,,,,
10067,USA,,2021-12-18,2021-12-22,2nd message,,,,,,,
10068,France,,2021-12-18,2021-12-18,1st message,,,,,,,
10069,USA,,2021-12-18,2021-12-18,1st message,,,,,,,
10070,USA,,2021-12-18,2021-12-18,1st message,,,,,,,
10071,Germany,,2021-12-18,2021-12-18,1st message,,,,,,,
10072,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10073,USA,,2021-12-19,2022-01-16,2nd message,,,,,,,
10074,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10075,Australia,,2021-12-19,2021-12-19,1st message,,,,,,,
10076,Germany,,2021-12-19,2021-12-19,1st message,,,,,,,
10077,Germany,,2021-12-19,2021-12-19,1st message,,,,,,,
10078,USA,,2021-12-19,2021-12-20,2nd message,,,,,,,
10079,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10080,Canada,,2021-12-19,2021-12-19,1st message,,,,,,,
10081,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10082,France,,2021-12-19,2021-12-19,1st message,,,,,,,
10083,USA,,2021-12-19,2021-12-20,1st message,,,,,,,
10085,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10086,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10087,France,,2021-12-19,2021-12-19,2nd message,,,,,,,
10088,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10089,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10090,Canada,,2021-12-19,2021-12-19,1st message,,,,,,,
10091,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10092,United Arab Emirates,,2021-12-19,2021-12-19,1st message,,,,,,,
10093,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10094,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10095,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10096,Germany,,2021-12-19,2021-12-19,1st message,,,,,,,
10097,USA,,2021-12-19,2021-12-21,2nd message,not interested,,,,,,
10098,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10099,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10100,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10101,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10102,Germany,,2021-12-19,2021-12-19,1st message,,,,,,,
10103,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10104,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10105,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10106,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10107,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10108,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10109,USA,,2021-12-19,2021-12-24,1st message,not interested,,,,,,
10110,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10111,USA,,2021-12-19,2022-01-03,1st message,not interested,,,,,,
10112,Canada,,2021-12-19,2021-12-19,1st message,,,,,,,
10113,Germany,,2021-12-19,2021-12-19,1st message,,,,,,,
10114,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10115,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10116,Germany,,2021-12-19,2021-12-19,1st message,,,,,,,
10117,Canada,,2021-12-19,2021-12-19,1st message,,,,,,,
10118,USA,,2021-12-19,2021-12-19,2nd message,,,,,,,
10119,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10120,Canada,,2021-12-19,2021-12-19,1st message,,,,,,,
10121,USA,,2021-12-19,2021-12-19,1st message,,,,,,,
10122,Canada,,2021-12-20,2021-12-29,3rd message,declined/canceled call,,,,,,
10123,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10124,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10125,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10126,Canada,,2021-12-20,2021-12-28,3rd message,,,,,,,
10127,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10128,Canada,,2021-12-20,2021-12-28,3rd message,declined/canceled call,2021-12-30,,,,,
10129,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10130,Canada,,2021-12-20,2021-12-28,3rd message,do not contact,,,,,,
10131,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10132,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10133,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10134,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10135,Canada,,2021-12-20,2021-12-20,1st message,,,,,,,
10136,USA,,2021-12-20,2021-12-20,1st message,,,,,,,
10137,UK,,2021-12-20,2022-01-03,1st message,not interested,,,,,,
10138,USA,,2021-12-20,2021-12-20,1st message,,,,,,,
10139,UK,,2021-12-20,2021-12-20,1st message,,,,,,,
10140,Germany,,2021-12-20,2021-12-20,1st message,,,,,,,
10141,Italy,,2021-12-20,2021-12-20,1st message,,,,,,,
10142,France,,2021-12-20,2021-12-20,1st message,,,,,,,
10143,UK,,2021-12-20,2021-12-20,1st message,,,,,,,
10144,USA,,2021-12-20,2021-12-20,1st message,,,,,,,
10145,USA,,2021-12-20,2021-12-20,1st message,,,,,,,
10147,France,,2021-12-21,2021-12-21,1st message,,,,,,,
10148,Singapore,,2021-12-21,2021-12-21,1st message,,,,,,,
10149,USA,,2021-12-21,2021-12-21,1st message,,,,,,,
10150,Australia,,2021-12-21,2021-12-24,2nd message,,,,,,,
10151,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10152,Australia,,2021-12-21,2021-12-22,2nd message,not interested,,,,,,
10153,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10154,Australia,,2021-12-21,2021-12-27,2nd message,,,,,,,
10155,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10156,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10157,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10158,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10160,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10161,Australia,,2021-12-21,2022-01-07,3rd message,,,,,,,
10163,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10164,Australia,,2021-12-21,2021-12-21,1st message,not interested,,,,,,
10165,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10166,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10167,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10168,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10169,Australia,,2021-12-21,2021-12-22,1st message,not interested,,,,,,
10170,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10171,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10172,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10173,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10174,Australia,,2021-12-21,2022-01-07,3rd message,,,,,,,
10175,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10176,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10177,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10178,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10179,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10180,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10181,Australia,,2021-12-21,2022-01-03,1st message,not interested,,,,,,
10182,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10183,Australia,,2021-12-21,2021-12-21,1st message,,,,,,,
10184,Australia,,2021-12-21,2021-12-22,2nd message,,,,,,,
10185,Australia,,2021-12-21,2021-12-22,2nd message,,,,,,,
10186,Australia,,2021-12-22,2021-12-22,1st message,not interested,,,,,,
10187,Australia,,2021-12-22,2021-12-22,1st message,,,,,,,
10188,Australia,,2021-12-22,2021-12-22,1st message,,,,,,,
10189,Australia,,2021-12-22,2021-12-22,1st message,,,,,,,
10190,Australia,,2021-12-22,2021-12-22,1st message,,,,,,,
10191,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10192,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10193,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10194,Australia,,2021-12-22,2021-12-22,1st message,,,,,,,
10195,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10196,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10197,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10198,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10199,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10200,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10201,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10202,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10203,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10204,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10205,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10206,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10207,USA,,2021-12-22,2021-12-22,1st message,,,,,,,
10208,UK,,2021-12-23,2021-12-23,2nd message,,,,,,,
10209,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10210,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10211,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10212,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10213,UK,,2021-12-23,2021-12-28,2nd message,,,,,,,
10214,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10215,UK,,2021-12-23,2021-12-23,3rd message,,,,,,,
10216,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10217,UK,,2021-12-23,2021-12-23,3rd message,do not contact,,,,,,
10218,UK,,2021-12-23,2021-12-23,3rd message,,,,,,,
10219,UK,,2021-12-23,2021-12-28,1st message,,,,,,,
10220,UK,,2021-12-23,2021-12-23,3rd message,,,,,,,
10221,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10222,UK,,2021-12-23,2021-12-23,3rd message,do not contact,,,,,,
10223,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10224,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10225,UK,,2021-12-23,2021-12-23,2nd message,,,,,,,
10226,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10227,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10228,UK,,2021-12-23,2021-12-23,2nd message,,,,,,,
10229,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10230,UK,,2021-12-23,2021-12-28,2nd message,,,,,,,
10231,UK,,2021-12-23,2021-12-28,3rd message,do not contact,,,,,,
10232,UK,,2021-12-23,2021-12-28,3rd message,declined/canceled call,,,,,,
10233,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10234,UK,,2021-12-23,2021-12-23,1st message,,,,,,,
10235,USA,,2021-12-23,2021-12-23,1st message,,,,,,,
10236,UK,,2021-12-23,2021-12-28,2nd message,,,,,,,
10237,UK,,2021-12-23,2021-12-28,3rd message,declined/canceled call,,,,,,
10238,UK,,2021-12-23,2021-12-28,2nd message,,,,,,,
10239,UK,,2021-12-23,2021-12-28,2nd message,,,,,,,
10240,UK,,2021-12-23,2022-03-14,1st message,,,,,,,
10241,France,,2021-12-23,2021-12-23,2nd message,,,,,,,
10242,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10243,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10244,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10245,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10246,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10247,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10248,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10249,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10250,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10251,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10252,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10253,USA,,2021-12-25,2021-12-26,1st message,,,,,,,
10254,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10255,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10256,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10257,USA,,2021-12-25,2022-01-04,2nd message,,,,,,,
10258,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10259,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10260,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10261,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10262,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10263,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10264,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10265,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10266,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10267,USA,,2021-12-25,2021-12-25,1st message,,,,,,,
10268,Australia,,2021-12-29,2021-12-29,1st message,,,,,,,
10269,UK,,2021-12-29,2021-12-29,1st message,,,,,,,
10270,UK,,2021-12-29,2021-12-29,2nd message,,,,,,,
10271,UK,,2021-12-29,2021-12-29,1st message,,,,,,,
10272,UK,,2021-12-29,2021-12-29,1st message,,,,,,,
10273,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10274,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10275,Australia,,2022-01-03,2022-01-04,1st message,not interested,,,,,,
10276,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10277,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10279,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10280,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10282,Australia,,2022-01-03,2022-01-07,3rd message,,,,,,,
10283,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10284,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10285,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10286,Australia,,2022-01-03,2022-01-07,3rd message,,,,,,,
10287,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10288,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10289,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10290,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10291,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10292,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10293,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10294,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10295,Australia,,2022-01-03,2022-01-03,2nd message,not interested,,,,,,
10296,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10297,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10298,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10299,Australia,,2022-01-03,2022-01-03,1st message,,,,,,,
10300,France,,2022-01-03,2022-01-03,1st message,,,,,,,
10301,USA,,2022-01-03,2022-01-03,1st message,,2022-01-18,,,,,
10302,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10303,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10304,France,,2022-01-03,2022-01-03,1st message,,,,,,,
10305,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10306,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10307,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10308,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10309,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10310,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10311,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10312,USA,,2022-01-03,2022-01-07,3rd message,,,,,,,
10313,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10314,South Africa,,2022-01-03,2022-01-07,3rd message,,,,,,,
10315,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10316,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10317,USA,,2022-01-03,2022-01-03,2nd message,,,,,,,
10318,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10319,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10320,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10321,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10322,USA,,2022-01-03,2022-01-07,3rd message,,,,,,,
10323,USA,,2022-01-03,2022-01-03,1st message,,,,,,,
10324,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10325,UK,,2022-01-04,2022-01-04,2nd message,,,,,,,
10326,UK,,2022-01-04,2022-01-04,1st message,declined/canceled call,,,,,,
10327,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10328,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10329,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10330,UK,,2022-01-04,2022-01-04,2nd message,,,,,,,
10331,UK,,2022-01-04,2022-01-05,1st message,declined/canceled call,,,,,,
10332,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10333,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10334,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10335,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10336,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10337,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10338,UK,,2022-01-04,2022-01-04,2nd message,,,,,,,
10339,UK,,2022-01-04,2022-01-04,2nd message,,2022-01-18,,,,,
10340,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10341,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10342,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10343,UK,,2022-01-04,2022-01-04,2nd message,,,,,,,
10344,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10345,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10346,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10347,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10348,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10349,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10350,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10351,UK,,2022-01-04,2022-01-04,1st message,,,,,,,
10352,UK,,2022-01-04,2022-01-05,2nd message,,,,,,,
10353,UK,,2022-01-04,2022-01-04,1st message,declined/canceled call,,,,,,
10354,Switzerland,,2022-01-04,2022-01-04,1st message,,,,,,,
10355,Switzerland,,2022-01-04,2022-01-04,1st message,,,,,,,
10356,Switzerland,,2022-01-04,2022-01-07,3rd message,,,,,,,
10357,Switzerland,,2022-01-04,2022-01-04,1st message,,,,,,,
10358,Switzerland,,2022-01-04,2022-01-06,1st message,not interested,,,,,,
10359,Switzerland,,2022-01-04,2022-01-07,3rd message,,,,,,,
10360,Denmark,,2022-01-04,2022-01-07,2nd message,,,,,,,
10361,Denmark,,2022-01-04,2022-01-07,3rd message,,,,,,,
10362,Denmark,,2022-01-04,2022-01-04,1st message,,,,,,,
10363,,,,27.12.2021,3rd message,,,,,,,
10365,,,,22.12.2021,3rd message,,,,,,,
10366,,,,22.12.2021,3rd message,,,,,,,
10367,,,,25.12.2021,3rd message,,,,,,,
10368,,,,25.12.2021,3rd message,,,,,,,
10369,,,,25.12.2022,2nd message,not interested,,,,,,
10370,,,,25.12.2021,3rd message,,,,,,,
10371,,,,25.12.2021,3rd message,,,,,,,
10372,,,,25.12.2022,2nd message,,,,,,,
10373,,,,2022-03-14,1st message,,,,,,,
10374,,,,27.12.2021,3rd message,,,,,,,
10375,,,,27.12.2021,3rd message,,,,,,,
10376,,,,27.12.2021,3rd message,,,,,,,
10377,,,,27.12.2021,3rd message,,,,,,,
10378,,,,27.12.2021,3rd message,,,,,,,
10379,,,,27.12.2022,1st message,,,,,,,
10380,,,,27.12.2023,1st message,,,,,,,
10381,,,,06.01.2021,3rd message,,,,,,,
10382,,,,06.01.2022,1st message,,,,,,,
10383,,,,06.01.2023,1st message,,,,,,,
10384,,,,06.01.2024,1st message,,,,,,,
10385,,,,06.01.2025,1st message,,,,,,,
10386,,,,06.01.2026,1st message,,,,,,,
10387,,,,06.01.2027,1st message,,,,,,,
10388,,,,06.01.2028,1st message,,,,,,,
10389,,,,06.01.2029,1st message,,,,,,,
10390,,,,06.01.2030,1st message,,,,,,,
10391,,,,06.01.2031,1st message,,,,,,,
10392,,,,06.01.2032,1st message,,,,,,,
10393,,,,06.01.2033,1st message,,,,,,,
10394,,,,06.01.2034,1st message,,,,,,,
10395,,,,06.01.2035,1st message,,,,,,,
10396,,,,06.01.2036,1st message,,,,,,,
10397,,,,06.01.2037,1st message,,,,,,,
10398,,,,06.01.2038,1st message,,,,,,,
10399,,,,06.01.2039,1st message,,,,,,,
10400,,,,06.01.2040,3rd message,not interested,,,,,,
10401,,,,06.01.2041,2nd message,not interested,,,,,,
10402,,,,06.01.2042,1st message,not interested,,,,,,
10403,,,,2022-01-12,3rd message,,,,,,,
10404,,,,03.01.2021,1st message,,,,,,,
10405,,,,03.01.2022,1st message,,,,,,,
10406,,,,03.01.2023,1st message,,,,,,,
10407,,,,03.01.2024,1st message,,,,,,,
10408,,,,03.01.2025,1st message,not interested,,,,,,
10409,,,,03.01.2026,1st message,,,,,,,
10410,,,,03.01.2027,1st message,,,,,,,
10411,,,,03.01.2021,3rd message,,,,,,,
10412,,,,03.01.2022,1st message,,,,,,,
10413,,,,03.01.2023,1st message,,,,,,,
10414,,,,03.01.2021,3rd message,,,,,,,
10415,,,,03.01.2022,1st message,,,,,,,
10416,,,,03.01.2023,1st message,,,,,,,
10417,,,,03.01.2024,1st message,,,,,,,
10418,,,,03.01.2025,1st message,,,,,,,
10419,,,,03.01.2026,1st message,,,,,,,
10420,,,,03.01.2027,1st message,,,,,,,
10421,,,,03.01.2028,1st message,,,,,,,
10422,,,,03.01.2029,1st message,,,,,,,
10423,,,,03.01.2030,1st message,,,,,,,
10424,,,,03.01.2031,1st message,,,,,,,
10425,,,,02-27-2022,2nd message,,,,,,,
10426,,,,06.01.2022,1st message,,,,,,,
10427,,,,06.01.2021,1st message,,,,,,,
10428,,,,06.01.2022,1st message,,,,,,,
10429,,,,06.01.2023,1st message,,,,,,,
10430,,,,06.01.2021,3rd message,,,,,,,
10431,,,,06.01.2022,1st message,,,,,,,
10432,,,,03.01.2021,3rd message,,,,,,,
10433,,,,06.01.2021,3rd message,not interested,,,,,,
10434,,,,06.01.2022,1st message,,,,,,,
10435,,,,06.01.2023,1st message,,,,,,,
10436,,,,06.01.2021,3rd message,,,,,,,
10437,,,,06.01.2022,1st message,,,,,,,
10438,,,,06.01.2023,1st message,,,,,,,
10440,,,,03.01.2021,3rd message,,,,,,,
10441,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10442,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10443,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10444,Singapore,,2022-01-05,2022-01-05,1st message,,,,,,,
10445,Canada,,2022-01-05,2022-01-05,1st message,,,,,,,
10446,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10447,USA,,2022-01-05,2022-01-05,2nd message,,,,,,,
10448,USA,,2022-01-05,2022-01-05,1st message,declined/canceled call,,,,,,
10449,Canada,,2022-01-05,2022-01-05,2nd message,,,,,,,
10450,Canada,,2022-01-05,2022-01-05,1st message,,,,,,,
10451,USA,,2022-01-05,2022-01-05,2nd message,,,,,,,
10452,Singapore,,2022-01-05,2022-01-05,1st message,,,,,,,
10453,Australia,,2022-01-05,2022-01-06,2nd message,,,,,,,
10454,USA,,2022-01-05,2022-01-05,2nd message,,,,,,,
10455,New Zealand,,2022-01-05,2022-01-05,1st message,,,,,,,
10456,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10457,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10458,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10459,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10460,USA,,2022-01-05,2022-01-05,2nd message,,,,,,,
10461,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10462,USA,,2021-13-12,2021-13-12,2nd message,declined/canceled call,,,,,,
10463,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10464,USA,,2022-01-05,2022-01-05,1st message,not interested,,,,,,
10465,USA,,2022-01-05,2022-01-05,2nd message,,,,,,,
10466,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10467,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10468,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10469,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10470,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10471,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10472,USA,,2022-01-05,2022-01-16,2nd message,,,,,,,
10473,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10474,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10475,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10476,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10477,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10479,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10480,USA,,2022-01-05,2022-01-07,3rd message,,,,,,,
10481,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10482,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10483,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10484,USA,,2022-01-05,2022-01-07,2nd message,,,,,,,
10485,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10486,USA,,2022-01-05,2022-01-07,3rd message,,,,,,,
10487,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10488,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10489,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10490,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10491,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10492,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10493,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10494,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10495,USA,,2022-01-05,2022-01-07,3rd message,,,,,,,
10496,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10497,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10498,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10499,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10500,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10501,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10502,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10503,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10504,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10505,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10506,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
10507,USA,,2022-01-05,2022-01-05,1st message,,,,,,,
